seed,alpha,nominal,cov_two,n_cert_two,width_two,frac_withheld_two,cov_one,n_cert_one,width_one,mean_cert_two,mean_cert_one
20260020,0.2,0.8,0.42857142857142855,7,37.3133930992141,0.8478260869565217,0.5945945945945946,37,42.26188353439345,95.31567876089998,116.46161594863648
20260020,0.1,0.9,0.0,1,68.83040567220033,0.9782608695652174,0.6129032258064516,31,70.25172586000686,7.39875268258298,108.1272651027052
20260020,0.05,0.95,,0,,1.0,1.0,18,134.38050669866362,0.0,104.01332055928475
20260020,0.02,0.98,,0,,1.0,1.0,17,161.67897106845894,0.0,82.44586102512343
20260021,0.3,0.7,0.5,10,49.49602934568202,0.782608695652174,0.5135135135135135,37,50.144917787549,62.02319678353492,97.58420576559725
20260021,0.2,0.8,,0,,1.0,0.5757575757575758,33,76.06971202085776,0.0,81.49211983836774
20260021,0.1,0.9,,0,,1.0,0.8,25,102.1904798700203,0.0,75.05063574701872
20260021,0.05,0.95,,0,,1.0,0.7727272727272727,22,109.88415134742709,0.0,77.10905257830183
20260021,0.02,0.98,,0,,1.0,0.9411764705882353,17,138.15630109431464,0.0,67.79844330639494
20260022,0.3,0.7,0.5769230769230769,26,61.26164754926731,0.4347826086956522,0.6,40,36.95351239585614,108.669702569729,122.6797768007769
20260022,0.2,0.8,0.7857142857142857,14,77.73102331016983,0.6956521739130435,0.6666666666666666,39,54.70281836879123,121.13096324030951,107.64714077550586
20260022,0.1,0.9,0.8333333333333334,6,95.24196031475674,0.8695652173913043,0.8571428571428571,28,91.69571153376724,143.9864011898678,106.5805290246623
20260022,0.05,0.95,,0,,1.0,0.9090909090909091,22,121.99752029726352,0.0,101.41732669933816
20260022,0.02,0.98,,0,,1.0,0.9523809523809523,21,131.47964893581943,0.0,96.45616800750938
20260023,0.3,0.7,0.6363636363636364,11,59.26886101191299,0.7608695652173914,0.6666666666666666,33,58.87226876070656,110.17095656846664,94.42571374981034
20260023,0.2,0.8,0.8571428571428571,7,72.33437564079503,0.8478260869565217,0.7241379310344828,29,72.33437564079503,127.77730581998833,93.35940897242845
20260023,0.1,0.9,1.0,1,87.04896597864717,0.9782608695652174,0.8181818181818182,22,97.98279014067347,73.86994751472352,94.06314353815013
