controller,CO2_t_per_yr,cost_per_yr,RE_selfcons_pct,peak_kW,comfort_viol_h,EV_shortfall_kWh,bat_cycles,deg_cost_yr,n_requests,n_committed,abstain_rate_pct,delivery_ratio,coverage,false_activation_pct,missed_opp_pct,net_service_benefit,requested_MWh,accepted_MWh,delivered_MWh,acceptance_rate_pct,abstention_rate_pct,cond_delivery_rate_pct,uncond_service_rate_pct,delivered_frac_of_requested,delivered_frac_of_accepted,shortfall_MWh,overdelivery_MWh,service_revenue_yr,service_penalty_yr,seed,variant
P,289.45147219248713,123702.92422327673,98.56215808355815,538.9056352229637,26.07142857142857,10058.194833643232,509.86532611017566,29867.14918191227,91,61,32.96703296703297,1.6524103311818032,0.6721311475409836,32.78688524590164,27.472527472527474,1666.8787429360732,6.4147805690377915,4.731805926388068,5.444124202325073,67.03296703296702,32.96703296703297,67.21311475409836,60.43956043956044,0.8486844006172581,0.9083987242293582,0.4334394595562301,3.3127486208257135,3361.9366294149013,1695.0578864788283,20260001,comfort_x2
B5,285.801843090522,118458.88612819764,98.33714273172085,535.5316982739298,112.97619047619047,17230.409458839826,474.0682566581964,28395.597396996865,92,92,0.0,1.4811687282408144,0.6956521739130435,30.434782608695656,0.0,2001.052637711071,7.602791429918203,7.602791429918203,6.762063435555199,100.0,0.0,69.56521739130434,69.56521739130434,0.8894185113306404,0.8894185113306404,0.8407279943630034,4.269006853232559,5288.899615666388,3287.8469779553166,20260002,comfort_x2
P,287.3704657975996,117935.49696625449,98.3517471112398,535.5316982739298,26.07142857142857,9099.865670121499,491.272752411616,28894.070243080623,92,67,27.173913043478258,1.7540393432780081,0.7761194029850746,22.388059701492537,19.565217391304348,2030.5698313214311,7.602791429918203,5.308646541875301,6.5421204021714,72.82608695652173,27.173913043478258,77.61194029850746,67.3913043478261,0.8604892640388776,0.9148406855663572,0.4520807000766286,4.369625678143774,3798.528283406818,1767.9584520853869,20260002,comfort_x2
B5,294.87518074422206,121893.6110456723,97.69967692986144,554.2918388616168,60.83333333333333,25167.513793811064,481.7821048362712,29044.17341081061,92,92,0.0,1.5604888046764571,0.7065217391304348,29.347826086956523,0.0,2216.095780887498,7.265414529937883,7.265414529937883,6.526739519734003,100.0,0.0,70.65217391304348,70.65217391304348,0.8983299566514624,0.8983299566514624,0.7386750102038786,4.448568143545773,5104.842695791952,2888.7469149044537,20260003,comfort_x2
P,297.841863325131,120713.08683757714,97.60818196791979,569.6707217427847,17.38095238095238,15581.565483555421,493.05864655137276,29769.33734655173,92,62,32.608695652173914,1.8259642325686376,0.7580645161290323,24.193548387096776,23.91304347826087,2454.794918508911,7.265414529937883,4.998268404091222,5.860716969932104,67.3913043478261,32.608695652173914,75.80645161290323,61.95652173913043,0.8066596813963499,0.9379879299189893,0.3099529705582059,4.428185731806605,3666.932428370466,1212.1375098615554,20260003,comfort_x2
B5,290.6878336963397,119533.49991216927,97.18013348948128,535.4514988145432,17.38095238095238,18167.539105905897,479.58190580940294,26809.45608876157,92,92,0.0,1.6144171913772045,0.7065217391304348,29.347826086956523,0.0,3520.1469279117814,8.079759425163148,8.079759425163148,7.483240266643033,100.0,0.0,70.65217391304348,70.65217391304348,0.9261711732824187,0.9261711732824187,0.5965191585201146,5.779640375091724,5852.962922838658,2332.8159949268766,20260004,comfort_x2
P,289.66724795987795,117998.83219706228,97.00649360590923,535.4514988145432,17.38095238095238,16221.300353421646,486.8995516279562,27290.113422726045,92,67,27.173913043478258,1.8584228698490601,0.746268656716418,25.37313432835821,22.82608695652174,3212.0404526736925,8.079759425163148,6.184276492886408,6.979030696944447,72.82608695652173,27.173913043478258,74.6268656716418,61.95652173913043,0.8637671407900274,0.9440096695682968,0.3462596843177239,5.748482848742051,4566.163146701934,1354.1226940282415,20260004,comfort_x2
B5,279.34569615016125,116940.6716121755,98.09102083874917,517.6491505289921,34.76190476190476,9639.41674859281,471.7642414431929,28310.432139460656,92,92,0.0,1.9323126653839093,0.782608695652174,21.73913043478261,0.0,3400.6613542937384,6.285530988524038,6.285530988524038,5.962588745537344,100.0,0.0,78.26086956521739,78.26086956521739,0.9486213267301817,0.9486213267301817,0.32294224298669527,5.985686931867013,4663.596197402422,1262.934843108683,20260000,service_x0.5
P,279.4603687064971,114765.31803455396,98.0389347881215,517.6491476448473,8.69047619047619,6572.714067669884,483.1300834325916,28119.612486442766,92,65,29.34782608695652,2.2739375482212547,0.8615384615384616,13.846153846153847,23.91304347826087,3044.193401472526,6.285530988524038,4.673122038499754,5.520258607558246,70.65217391304348,29.34782608695652,86.15384615384616,69.56521739130434,0.8782485708267118,0.9721455800976438,0.13016710351532634,5.900063644993533,3553.2397527199632,509.0463512474369,20260000,service_x0.5
B5,290.08796472876486,124767.90467368331,98.59331746558348,538.9056358381513,52.14285714285714,11163.726690621887,498.19211913236967,29291.41416897831,91,91,0.0,1.4690487806497419,0.5934065934065934,40.65934065934066,0.0,1193.5820146010026,6.4147805690377915,6.4147805690377915,5.599990629516486,100.0,0.0,59.34065934065934,59.34065934065934,0.8729824144797641,0.8729824144797641,0.8147899395213056,3.583358850383847,4379.992670943251,3186.410656342249,20260001,service_x0.5
P,289.5242902308974,123712.41351058365,98.52783541916561,538.9056358381513,43.45238095238095,9718.411382288541,508.76184948166775,29777.546660434426,91,60,34.065934065934066,1.675813279162164,0.6666666666666666,33.33333333333333,27.472527472527474,1606.7546921420078,6.4147805690377915,4.644575436249281,5.433871257424662,65.93406593406593,34.065934065934066,66.66666666666666,59.34065934065934,0.8470860692651464,0.9070500904666663,0.4317128666201142,3.3836957328413058,3295.060366959954,1688.3056748179465,20260001,service_x0.5
B5,286.31065821063896,118616.10038268697,98.32885667733454,535.5316800783119,156.42857142857142,16163.960979130567,474.1335866553484,28339.00594935791,92,92,0.0,1.4811425049453497,0.6956521739130435,30.434782608695656,0.0,2002.7186275867725,7.602791429918203,7.602791429918203,6.762418441008165,100.0,0.0,69.56521739130434,69.56521739130434,0.889465205424019,0.889465205424019,0.8403729889100382,4.268768794774092,5289.177280645671,3286.458653058899,20260002,service_x0.5
